,number,created_at,updated_at,url,html_url,state,fixed_at,dismissed_by,dismissed_at,dismissed_reason,dismissed_comment,instances_url,rule.id,rule.severity,rule.description,rule.name,rule.tags,rule.security_severity_level,tool.name,tool.guid,tool.version,most_recent_instance.ref,most_recent_instance.analysis_key,most_recent_instance.environment,most_recent_instance.category,most_recent_instance.state,most_recent_instance.commit_sha,most_recent_instance.message.text,most_recent_instance.location.path,most_recent_instance.location.start_line,most_recent_instance.location.end_line,most_recent_instance.location.start_column,most_recent_instance.location.end_column,most_recent_instance.classifications,repo_name
0,1,2024-05-19T17:49:40Z,2024-05-19T17:49:42Z,https://api.github.com/repos/fcas/pattern_classification/code-scanning/alerts/1,https://github.com/fcas/pattern_classification/security/code-scanning/1,open,,,,,,https://api.github.com/repos/fcas/pattern_classification/code-scanning/alerts/1/instances,py/flask-debug,error,Flask app is run in debug mode,py/flask-debug,"['external/cwe/cwe-215', 'external/cwe/cwe-489', 'security']",high,CodeQL,,2.17.3,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,637f36aeb638ba51920ddd361addd3de8c25773d,A Flask app appears to be run in debug mode. This may allow an attacker to run arbitrary code through the debugger.,machine_learning/webapp/movieclassifier/app.py,92,92,5,24,[],pattern_classification
0,4,2024-05-19T02:09:41Z,2024-05-19T02:09:44Z,https://api.github.com/repos/fcas/Auto_ViML/code-scanning/alerts/4,https://github.com/fcas/Auto_ViML/security/code-scanning/4,open,,,,,,https://api.github.com/repos/fcas/Auto_ViML/code-scanning/alerts/4/instances,py/overly-large-range,warning,Overly permissive regular expression range,py/overly-large-range,"['correctness', 'external/cwe/cwe-020', 'security']",medium,CodeQL,,2.17.3,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,936cdf512168b1c32734835dd6195ce925a3676d,"Suspicious character range that overlaps with \u2702-\u27b0 in the same character class, and overlaps with \ufffd-\ufffd in the same character class.",autoviml/Auto_NLP.py,695,695,49,53,[],Auto_ViML
1,3,2024-05-19T02:09:41Z,2024-05-19T02:09:44Z,https://api.github.com/repos/fcas/Auto_ViML/code-scanning/alerts/3,https://github.com/fcas/Auto_ViML/security/code-scanning/3,open,,,,,,https://api.github.com/repos/fcas/Auto_ViML/code-scanning/alerts/3/instances,py/overly-large-range,warning,Overly permissive regular expression range,py/overly-large-range,"['correctness', 'external/cwe/cwe-020', 'security']",medium,CodeQL,,2.17.3,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,936cdf512168b1c32734835dd6195ce925a3676d,Suspicious character range that overlaps with \ufffd-\ufffd in the same character class.,autoviml/Auto_NLP.py,695,695,40,44,[],Auto_ViML
2,2,2024-05-19T02:09:41Z,2024-05-19T02:09:44Z,https://api.github.com/repos/fcas/Auto_ViML/code-scanning/alerts/2,https://github.com/fcas/Auto_ViML/security/code-scanning/2,open,,,,,,https://api.github.com/repos/fcas/Auto_ViML/code-scanning/alerts/2/instances,py/overly-large-range,warning,Overly permissive regular expression range,py/overly-large-range,"['correctness', 'external/cwe/cwe-020', 'security']",medium,CodeQL,,2.17.3,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,936cdf512168b1c32734835dd6195ce925a3676d,Suspicious character range that overlaps with \ufffd-\ufffd in the same character class.,autoviml/Auto_NLP.py,695,695,37,41,[],Auto_ViML
3,1,2024-05-19T02:09:41Z,2024-05-19T02:09:44Z,https://api.github.com/repos/fcas/Auto_ViML/code-scanning/alerts/1,https://github.com/fcas/Auto_ViML/security/code-scanning/1,open,,,,,,https://api.github.com/repos/fcas/Auto_ViML/code-scanning/alerts/1/instances,py/overly-large-range,warning,Overly permissive regular expression range,py/overly-large-range,"['correctness', 'external/cwe/cwe-020', 'security']",medium,CodeQL,,2.17.3,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,936cdf512168b1c32734835dd6195ce925a3676d,Suspicious character range that overlaps with \ufffd-\ufffd in the same character class.,autoviml/Auto_NLP.py,695,695,34,38,[],Auto_ViML
0,1,2024-05-19T02:42:45Z,2024-05-19T02:42:46Z,https://api.github.com/repos/fcas/Theano/code-scanning/alerts/1,https://github.com/fcas/Theano/security/code-scanning/1,open,,,,,,https://api.github.com/repos/fcas/Theano/code-scanning/alerts/1/instances,py/overly-large-range,warning,Overly permissive regular expression range,py/overly-large-range,"['correctness', 'external/cwe/cwe-020', 'security']",medium,CodeQL,,2.17.3,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,609dcd056c6731184209d2bdc36f0366d91b1f8c,"Suspicious character range that overlaps with 0-9 in the same character class, and overlaps with A-Z in the same character class, and is equivalent to \[""#$%&'()*+,\-.\/0-9:;<=>?@A-Z\\[\\\\]^_\].",theano/gof/cmodule.py,2395,2395,52,55,[],Theano
0,1,2024-05-19T03:44:49Z,2024-05-19T03:44:52Z,https://api.github.com/repos/fcas/python-timbl/code-scanning/alerts/1,https://github.com/fcas/python-timbl/security/code-scanning/1,open,,,,,,https://api.github.com/repos/fcas/python-timbl/code-scanning/alerts/1/instances,py/insecure-temporary-file,error,Insecure temporary file,py/insecure-temporary-file,"['external/cwe/cwe-377', 'security']",high,CodeQL,,2.17.3,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,3e16f0f43b181ef0f205af0b5a3455e41b886c27,Call to deprecated function tempfile.mktemp may be insecure.,timbl.py,70,70,30,74,[],python-timbl
0,128,2024-05-20T17:46:25Z,2024-05-20T17:46:27Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/128,https://github.com/fcas/catboost/security/code-scanning/128,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/128/instances,js/insecure-randomness,warning,Insecure randomness,js/insecure-randomness,"['external/cwe/cwe-338', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""javascript-typescript""}",/language:javascript-typescript,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,This uses a cryptographically insecure random number generated at Math.random() in a security context.,contrib/python/plotly/py3/jupyterlab_plotly/nbextension/index.js,2,2,2242765,2242776,[],catboost
1,127,2024-05-20T17:46:25Z,2024-05-20T17:46:26Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/127,https://github.com/fcas/catboost/security/code-scanning/127,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/127/instances,js/insecure-randomness,warning,Insecure randomness,js/insecure-randomness,"['external/cwe/cwe-338', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""javascript-typescript""}",/language:javascript-typescript,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,This uses a cryptographically insecure random number generated at Math.random() in a security context.,contrib/python/plotly/py3/jupyterlab_plotly/labextension/static/478.af17b0e3814445a7895a.js,2,2,2172654,2172665,[],catboost
2,126,2024-05-20T17:46:25Z,2024-05-20T17:46:26Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/126,https://github.com/fcas/catboost/security/code-scanning/126,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/126/instances,js/insecure-randomness,warning,Insecure randomness,js/insecure-randomness,"['external/cwe/cwe-338', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""javascript-typescript""}",/language:javascript-typescript,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,This uses a cryptographically insecure random number generated at Math.random() in a security context.,contrib/python/plotly/py2/plotlywidget/static/index.js,80945,80945,12204,12215,[],catboost
