,nature,type,id,description,cwe_counts,cwe_id
1,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,3,502
3,MemberOf,category,399,Resource Management Errors,3,502
4,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,3,502
5,MemberOf,category,1019,Validate Inputs,3,502
6,MemberOf,category,858,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 15 - Serialization (SER),3,502
7,MemberOf,view,884,CWE Cross-section,3,502
8,MemberOf,category,994,SFP Secondary Cluster: Tainted Input to Variable,3,502
9,MemberOf,category,1034,OWASP Top Ten 2017 Category A8 - Insecure Deserialization,3,502
10,MemberOf,category,1148,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 14. Serialization (SER),3,502
11,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,3,502
12,MemberOf,category,1308,CISQ Quality Measures - Security,3,502
13,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,3,502
14,MemberOf,view,1340,CISQ Data Protection Measures,3,502
15,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,3,502
16,MemberOf,category,1354,OWASP Top Ten 2021 Category A08:2021 - Software and Data Integrity Failures,3,502
17,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,3,502
18,MemberOf,category,1415,Comprehensive Categorization: Resource Control,3,502
19,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,3,502
3,ChildOf,pillar,682,Incorrect Calculation,1,190
4,ParentOf,"Chain - a Compound Element that is a sequence of two or more separate weaknesses that can be closely linked together within software. One weakness, X, can directly create the conditions that are necessary to cause another weakness, Y, to enter a vulnerable condition. When this happens, CWE refers to X as ""primary"" to Y, and Y is ""resultant"" from X. Chains can involve more than two weaknesses, and in some cases, they might have a tree-like structure.",680,Integer Overflow to Buffer Overflow,1,190
8,MemberOf,category,189,Numeric Errors,1,190
9,ChildOf,pillar,682,Incorrect Calculation,1,190
10,ChildOf,class,20,Improper Input Validation,1,190
11,MemberOf,category,738,CERT C Secure Coding Standard (2008) Chapter 5 - Integers (INT),1,190
12,MemberOf,category,742,CERT C Secure Coding Standard (2008) Chapter 9 - Memory Management (MEM),1,190
13,MemberOf,category,802,2010 Top 25 - Risky Resource Management,1,190
14,MemberOf,category,865,2011 Top 25 - Risky Resource Management,1,190
15,MemberOf,category,872,CERT C++ Secure Coding Section 04 - Integers (INT),1,190
16,MemberOf,category,876,CERT C++ Secure Coding Section 08 - Memory Management (MEM),1,190
17,MemberOf,view,884,CWE Cross-section,1,190
18,MemberOf,category,998,SFP Secondary Cluster: Glitch in Computation,1,190
19,MemberOf,category,1137,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 03. Numeric Types and Operations (NUM),1,190
20,MemberOf,category,1158,SEI CERT C Coding Standard - Guidelines 04. Integers (INT),1,190
21,MemberOf,category,1162,SEI CERT C Coding Standard - Guidelines 08. Memory Management (MEM),1,190
22,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,1,190
